vocals,instrumental,score,CLAP,normalized_score,normalized_CLAP,MERT,normalized_MERT
deef - Ein sonniger Tag mit dir,Bam Bam - Hi-Q,44.624324798583984,0.4594809,-2.1217149650369156,0.37140423,-0.33659872,-0.5817193
deef - Ein sonniger Tag mit dir,Benji Cossa - New Flowers (Fast 4-track Version),45.39055824279785,0.237584,-1.8693491598236818,-0.37819353,-0.09316946,-0.1564566
deef - Ein sonniger Tag mit dir,Bessie Smith - My Sweetie Went Away,43.3883056640625,0.7519258,-2.528808868987439,1.3593227,-0.025149062,-0.037627276
deef - Ein sonniger Tag mit dir,David Rovics - We Just Want The World,45.56813430786133,0.2433025,-1.8108629021632376,-0.35887566,-0.032228682,-0.04999513
deef - Ein sonniger Tag mit dir,deef - Ein sonniger Tag mit dir,43.68267822265625,1.0,-2.4318546465592985,2.1973507,-0.6972487,-1.2117625
deef - Ein sonniger Tag mit dir,Dragon Or Emperor - Part of Me Says,43.63719940185547,0.13011184,-2.4468335010039945,-0.74124897,0.18694797,0.33289903
deef - Ein sonniger Tag mit dir,Grand Mal - Children of Light,44.63602256774902,0.7177,-2.117862200638773,1.2437032,0.20368882,0.36214474
deef - Ein sonniger Tag mit dir,Home Blitz - Secret Wave,44.63561820983887,0.29046652,-2.1179953795157345,-0.19954923,-0.16020921,-0.27357277
deef - Ein sonniger Tag mit dir,Josh Woodward - Cien Volando,45.52719306945801,0.7043003,-1.8243472634556128,1.1984372,0.08088209,0.14760554
deef - Ein sonniger Tag mit dir,Los Steaks - Sunday Girls,45.71125984191895,0.17440635,-1.7637232335390305,-0.59161615,0.012733461,0.028552208
deef - Ein sonniger Tag mit dir,Mia Doi Todd - I gave you my home,44.77436065673828,0.5494852,-2.072299319661615,0.6754509,-0.28493655,-0.49146718
deef - Ein sonniger Tag mit dir,Orange Peels - Grey Holiday,45.32811737060547,-0.02010703,-1.8899146168760224,-1.2487086,0.33849818,0.59765214
deef - Ein sonniger Tag mit dir,Poland - Lying Machine,44.67474365234375,0.72994095,-2.1051090667651873,1.2850548,0.1575766,0.28158826
deef - Ein sonniger Tag mit dir,Shearer - Itch,43.1694564819336,0.17278516,-2.6008887951317248,-0.59709275,0.58898807,1.0352495
deef - Ein sonniger Tag mit dir,Short Hand - Certain Strangers,45.26191711425781,0.73799753,-1.9117182605627572,1.312271,0.5417821,0.9527822
deef - Ein sonniger Tag mit dir,The Cute Lepers - Young Hearts,41.76839256286621,-0.02907205,-3.062341667961381,-1.2789937,-0.14188397,-0.2415592
deef - Ein sonniger Tag mit dir,The Embarrassment - Patio Set,42.68953704833984,0.7620716,-2.7589545324223104,1.3935965,-0.18826528,-0.3225858
deef - Ein sonniger Tag mit dir,The J Arthur Keenes Band - The Boring World of Niels Bohr,44.107370376586914,-0.0071068984,-2.2919785054122412,-1.2047925,0.63001233,1.1069175
deef - Ein sonniger Tag mit dir,The Oranges Band - Ride the Nuclear Wave,43.57473564147949,0.8319177,-2.4674064964833327,1.629546,-0.26385114,-0.4546317
deef - Ein sonniger Tag mit dir,Wann - Happy Birthday,44.98067474365234,0.28281328,-2.004347938703143,-0.22540289,0.07362135,0.13492127
deef - Ein sonniger Tag mit dir,ZOELEELA - Jewel,44.90922927856445,0.63855904,-2.027879138576879,0.97635436,0.50305897,0.8851343
Dragon Or Emperor - Part of Me Says,Bam Bam - Hi-Q,51.74003601074219,0.21014184,0.22190786072415528,-0.47089687,-0.49978906,-0.8668072
Dragon Or Emperor - Part of Me Says,Benji Cossa - New Flowers (Fast 4-track Version),52.26156425476074,0.6931832,0.393677830094548,1.1608821,0.6999165,1.2290376
Dragon Or Emperor - Part of Me Says,Bessie Smith - My Sweetie Went Away,47.60512924194336,0.18623118,-1.1399604890190183,-0.5516703,0.6419402,1.127755
Dragon Or Emperor - Part of Me Says,David Rovics - We Just Want The World,52.943803787231445,0.29161307,0.618379492832481,-0.19567601,-0.38680005,-0.6694193
Dragon Or Emperor - Part of Me Says,deef - Ein sonniger Tag mit dir,51.08250999450684,0.13011184,0.005345814537135706,-0.74124897,0.22719646,0.40321177
Dragon Or Emperor - Part of Me Says,Dragon Or Emperor - Part of Me Says,51.130672454833984,1.0000002,0.021208549547325282,2.1973515,-0.6892874,-1.1978544
Dragon Or Emperor - Part of Me Says,Grand Mal - Children of Light,51.45990180969238,0.21260437,0.1296431680909171,-0.4625781,-0.56362545,-0.9783273
Dragon Or Emperor - Part of Me Says,Home Blitz - Secret Wave,51.9245491027832,0.5968365,0.282678889967193,0.83541,0.6571289,1.1542891
Dragon Or Emperor - Part of Me Says,Josh Woodward - Cien Volando,51.59668159484863,0.23848708,0.1746928078299723,-0.37514278,0.5372953,0.94494396
Dragon Or Emperor - Part of Me Says,Los Steaks - Sunday Girls,52.83589172363281,0.7601881,0.5828376941444438,1.3872337,0.6173034,1.0847154
Dragon Or Emperor - Part of Me Says,Mia Doi Todd - I gave you my home,51.777862548828125,0.34062836,0.23436636774257538,-0.030095762,-0.10963432,-0.18522015
Dragon Or Emperor - Part of Me Says,Orange Peels - Grey Holiday,51.54011154174805,0.20545746,0.15606095730257608,-0.4867213,0.52312773,0.92019373
Dragon Or Emperor - Part of Me Says,Poland - Lying Machine,52.08794021606445,0.2043505,0.3364932074957297,-0.49046078,0.53244716,0.93647444
Dragon Or Emperor - Part of Me Says,Shearer - Itch,51.43684196472168,0.36072016,0.12204820289059948,0.03777706,-0.13649939,-0.23215254
Dragon Or Emperor - Part of Me Says,Short Hand - Certain Strangers,52.64995574951172,0.15523061,0.5215980260230407,-0.6563944,-0.32052398,-0.5536372
Dragon Or Emperor - Part of Me Says,The Cute Lepers - Young Hearts,50.37527656555176,0.23381676,-0.22758781048243423,-0.39091977,-0.51628417,-0.8956236
Dragon Or Emperor - Part of Me Says,The Embarrassment - Patio Set,50.42742729187012,0.19287099,-0.21041150456786978,-0.52924013,0.6493199,1.1406472
Dragon Or Emperor - Part of Me Says,The J Arthur Keenes Band - The Boring World of Niels Bohr,51.1598014831543,0.1653136,0.03080245430656852,-0.6223327,-0.11477405,-0.1941991
Dragon Or Emperor - Part of Me Says,The Oranges Band - Ride the Nuclear Wave,51.290822982788086,0.18339217,0.07395555145341867,-0.5612609,-0.4210798,-0.72930485
Dragon Or Emperor - Part of Me Says,Wann - Happy Birthday,52.61946868896485,0.47243363,0.5115568412619284,0.41516027,-0.7532527,-1.3095996
Dragon Or Emperor - Part of Me Says,ZOELEELA - Jewel,51.4481372833252,0.11822031,0.12576841661403285,-0.78142023,-0.46615088,-0.80804247
